word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
march,0,0,0.0012651822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035803795,0,0,0,0,0,0,0
loss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029469548,0,0,0
reduction,0,0,0,0,0,0,0,0,0,0,0,0.00089706212,0,0,0,0,0,0,0,0,0,0,0,0,0
atc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019646365,0.00088731145,0,0
losses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010741139,0,0,0,0,0,0,0
eliminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007160759,0,0,0,0,0,0,0
acs-arr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019646365,0,0,0
gap,0,0,0,0,0,0,0,0,0,0,0,0.0022426553,0,0,0,0,0,0,0,0,0,0.0029469548,0,0,0.0020120724
viability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019900498,0,0,0,0,0,0.0049115914,0,0,0
funding,0,0,0.0098684211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vgf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039800995,0,0,0,0,0,0.0039292731,0,0,0
bess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029469548,0,0,0
context,0,0,0,0,0,0,0,0,0,0,0,0.0056066383,0,0,0,0,0,0,0,0,0,0,0,0,0
approved,0,0,0,0,0,0,0,0,0,0,0,0.0011213277,0,0,0,0,0,0.00035803795,0,0,0,0.0019646365,0,0,0
econd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
june,0,0,0.0010121457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gwh,0.0013368984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
battery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039292731,0,0,0
solar/wind,0.0006684492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
added,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099403579,0,0,0.0029469548,0,0,0
pm-ebus,0.0020053476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sewa,0.0026737968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
payment,0.0073529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
security,0.0053475936,0,0,0.0028694405,0,0,0,0,0,0,0.0081855389,0,0.0020283976,0,0,0,0,0.0017901898,0,0.014677104,0,0,0.023957409,0,0
mechanism,0,0,0.0020242915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy,0.014705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industries,0.011363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012093023,0
ubsidizes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
buses,0.0026737968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seci/cesl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
fund,0,0,0,0.0057388809,0,0,0,0,0,0.0069033531,0,0.00022426553,0,0,0,0,0,0.0096670247,0,0,0,0,0,0,0
operators,0,0,0,0,0,0,0.0021691974,0,0,0,0,0,0,0,0,0.0029850746,0,0,0,0,0,0,0,0,0
get,0,0,0.00025303644,0,0,0,0,0,0,0,0.0013642565,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019569472,0,0.00098231827,0,0,0
local,0,0,0,0,0,0,0,0,0,0,0,0.0029154519,0,0,0,0,0,0,0,0,0,0,0,0,0
bus,0,0,0,0,0,0,0,0,0,0,0,0.00044853106,0,0,0,0,0,0,0,0,0,0,0,0,0
uthorities,0,0,0,0,0,0,0,0,0,0,0,0.00022426553,0,0,0,0,0,0,0,0,0,0,0,0,0
default,0.0006684492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
major,0,0,0,0,0,0,0,0.013333333,0,0,0,0.0082978246,0,0,0.0016934801,0,0,0,0,0,0,0,0,0,0
undertakings,0.0026737968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099502488,0,0,0,0,0,0.0019646365,0,0,0
giants,0,0,0,0,0,0,0,0,0,0,0,0.0015698587,0,0,0,0,0,0,0,0,0,0,0,0,0
ntpc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019646365,0,0,0
limited,0.01671123,0,0,0.012912482,0,0,0,0,0,0,0,0,0,0,0.016934801,0,0.014117647,0,0,0,0,0,0,0,0
india’s,0,0,0,0,0,0,0,0.004,0,0,0,0.0017941242,0,0,0,0,0,0,0,0,0,0,0,0,0
pivoting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019646365,0,0,0
heavily,0,0,0,0,0,0,0,0,0,0,0,0,0.0010141988,0,0,0,0,0.015037594,0,0,0,0,0,0,0
renewable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011787819,0,0,0
blending,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049115914,0,0,0
corporation,0,0,0,0,0,0,0,0,0,0,0,0.007176497,0,0,0,0,0,0,0,0,0,0,0,0,0
powergrid,0.0006684492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maharatna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035803795,0,0,0,0.0029469548,0,0,0
